5	7	8	758		1.62	2	0.4621	758		75	58	8	0	0	0	0	0		0.97	0.65	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	75.00	58.00	8.00	0.00	0.00	0.00	0.00	0.00			Round 5	d	1.00	1.00	1.00	1.00	0.50	1.00	1.06	0.50	1.00	1.00
			75398		2.71	4	1.5496	758		75	53	39	98	8	0	0	0		0.97	0.35	0.96	0.44	0.00	0.00	0.00	0.00			path 1 lengths	1.06	0.50	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			75421398		5.12	7	5.1162	758		75	54	42	21	13	39	98	8		0.97	0.66	0.60	0.93	0.56	0.96	0.44	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			7		8.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	6	8	658		1.53	2	0.4376	658		65	58	8	0	0	0	0	0		0.88	0.65	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	65.00	58.00	8.00	0.00	0.00	0.00	0.00	0.00				d	1.00	1.00	1.00	1.00	0.50	1.04	1.00	0.50	1.00	1.00
			65398		2.63	4	1.5005	658		65	53	39	98	8	0	0	0		0.88	0.35	0.96	0.44	0.00	0.00	0.00	0.00			path 1 lengths	1.04	0.50	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			65421398		5.03	7	5.0304	658		65	54	42	21	13	39	98	8		0.88	0.66	0.60	0.93	0.56	0.96	0.44	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			6		4.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
6	5	6	56		0.78	1	0.7792	56		56	6	0	0	0	0	0	0		0.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	56.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00			Round 6	d	1.00	1.00	1.00	1.00	1.04	1.04	1.00	1.00	1.00	1.00
			56		0.78	1	0.7792	56		56	6	0	0	0	0	0	0		0.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00			path 1 lengths	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			56		0.78	1	0.7792	56		56	6	0	0	0	0	0	0		0.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00			path 2  lengths	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			6		6.00																								path 3  lengths	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	7	6	756		0.92	2	0.9176	756		75	56	6	0	0	0	0	0		0.14	0.78	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	75.00	56.00	6.00	0.00	0.00	0.00	0.00	0.00				d	1.00	1.00	1.00	1.00	1.04	1.04	1.06	1.00	1.00	1.00
			756		0.92	2	0.9176	756		75	56	6	0	0	0	0	0		0.14	0.78	0.00	0.00	0.00	0.00	0.00	0.00			path 1 lengths	1.06	1.04	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			756		0.92	2	0.9176	756		75	56	6	0	0	0	0	0		0.14	0.78	0.00	0.00	0.00	0.00	0.00	0.00			path 2  lengths	1.06	1.04	0.00	0.00	0.00	0.00	0.00	0.00														
			7		9.00																								path 3  lengths	1.06	1.04	0.00	0.00	0.00	0.00	0.00	0.00														
7	6	2	6542		1.35	3	0.6733	6542		65	54	42	2	0	0	0	0		0.23	0.21	0.91	0.00	0.00	0.00	0.00	0.00			shortsest path	65.00	54.00	42.00	2.00	0.00	0.00	0.00	0.00			Round 7	d	1.00	1.54	1.00	1.54	1.39	1.04	1.00	1.00	1.00	1.00
			65312		2.15	4	1.4336	6542		65	53	31	12	2	0	0	0		0.23	0.75	0.28	0.89	0.00	0.00	0.00	0.00			path 1 lengths	1.04	1.39	1.54	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
			6589312		1.84	6	1.8442	6542		65	58	89	93	31	12	2	0		0.23	0.04	0.09	0.31	0.28	0.89	0.00	0.00			path 2  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
			2		2.00																								path 3  lengths	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00														
	3	2	312		1.17	2	0.4677	312		31	12	2	0	0	0	0	0		0.28	0.89	0.00	0.00	0.00	0.00	0.00	0.00			shortsest path	31.00	12.00	2.00	0.00	0.00	0.00	0.00	0.00				d	4.07	4.07	3.20	1.00	1.00	1.00	1.00	1.00	1.00	1.00
			3542		1.87	3	1.1235	312		35	54	42	2	0	0	0	0		0.75	0.21	0.91	0.00	0.00	0.00	0.00	0.00			path 1 lengths	3.20	4.07	0.00	0.00	0.00	0.00	0.00	0.00				Energies	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
